id	data
39037	0
39039	0
39041	0
39043	3.938969797
39049	4.029911105
39051	4.439918186
39053	0
39061	0
39069	0
39079	0
39081	0
39085	0
39087	0
39091	4.589692745
39093	4.877377106
39095	0
39099	5.049043494
39101	0
39103	0
39105	0
39109	0
39111	0
39113	0
39123	4.256741793
39129	0
39139	0
39141	5.441327361
39145	0
39149	0
39153	0
39155	0
39157	0
39161	0
39163	0
39165	0
39167	0
39169	0
39171	3.568143032
39173	4.099542529
39175	4.038341934
40015	5.528110323
40017	0
40021	0
40023	0
40027	0
40031	5.876839961
40039	5.743328664
40043	0
40047	0
40051	4.173565018
40055	0
40059	5.839420221
40061	0
40071	0
40073	0
40079	0
40083	0
40087	0
40089	5.546385117
40093	0
40097	0
40101	0
40103	0
40107	0
40109	0
40113	0
40119	0
40121	0
40129	5.851517423
40131	0
40133	0
40135	0
40143	0
40145	0
40153	5.873680045
41001	0
41003	4.623476718
41005	0
41007	0
41009	0
41017	0
41019	5.164503673
41021	6.002632084
41023	4.248586244
41027	0
41029	5.237603756
41031	3.522951266
41033	0
41035	0
41039	5.117915142
41043	4.615117249
41045	0
41047	0
41049	5.377723221
41051	0
41055	6.237498698
41059	5.836289295
41061	5.495333383
41063	0
41065	0
41071	5.04538671
42001	2.017033339
42003	0
42005	0
42007	0
42011	4.699777042
42013	5.249821142
42015	4.068668143
42017	5.355236534
42021	5.500434086
42025	0
42029	4.187948319
42031	3.809922754
42033	0
42035	0
42041	4.692300404
42043	0
42045	0
42047	5.19909508
42049	4.666705136
42051	0
42055	3.671160897
42059	0
42061	0
42063	0
42069	5.201299222
42071	4.419443541
42073	0
42075	4.168438552
42077	0
42079	4.814560548
42081	4.736500083
42085	0
42089	3.063821056
42091	4.334111811
42093	0
42095	4.882091268
42097	5.100549741
42101	0
42107	5.5178748
42109	0
42111	5.757298833
42117	5.405061063
42119	0
42121	0
42123	0
42125	4.521308105
42127	5.245857992
42129	0
42131	0
42133	5.550753341
44005	3.494711025
44007	5.136558865
44009	0
45001	0
45003	0
45007	4.246566206
45013	0
45015	0
45017	0
45019	5.455465821
45021	0
45023	0
45029	0
45031	0
45039	0
45041	5.648333748
45043	5.646616784
45045	4.357191339
45047	0
45051	4.240948416
45053	0
45055	0
45057	0
45059	0
45061	4.764549719
45063	0
45065	0
45069	4.859818597
45073	0
45075	0
45077	0
45079	5.708491005
45083	0
45087	0
45091	0
46005	0
46011	5.796175932
46013	0
46015	3.701395269
46017	0
46023	0
46025	0
46027	0
46029	0
46037	5.473417813
46049	0
46051	0
46059	4.915083102
46065	0
46069	5.104237798
46073	5.267706637
46077	0
46099	0
46103	0
46115	0
46117	0
46135	0
47001	4.77693352
47009	0
47019	0
47027	0
47037	0
47041	0
47043	0
47051	0
47065	0
47067	0
47069	0
47071	5.458476624
47073	0
47075	0
47085	0
47089	0
47093	0
47105	0
47107	5.527932013
47115	0
47139	0
47143	0
47145	0
47149	3.522835314
47151	0
47155	0
47157	0
47159	0
47161	0
47163	5.476768977
47165	0
47177	0
47183	0
48005	0
48013	0
48021	0
48029	5.039877912
48033	5.760380258
48035	0
48039	0
48041	0
48053	0
48057	0
48061	0
48065	5.737271342
48067	5.533114105
48071	4.216113097
48073	0
48081	0
48085	0
48091	3.216693599
48109	4.911466567
48113	4.561506854
48121	4.946609447
